cliente_id,nombre,email,region,comuna,segmento_rfm,fecha_registro,canal_adquisicion
1,María Florencia Iturra Astorga,pinotamara@example.com,Metropolitana,Macul,Loyal,2024-04-10,Facebook/Instagram
2,César Antonio Mejías Saavedra,marquezricardo@example.org,Valparaíso,Quilpué,New,2023-04-19,Facebook/Instagram
3,Marcos Herrera,fuentesjose@example.com,Valparaíso,Valparaíso,New,2023-02-03,Google Ads
4,Sandra Evelyn Silva Huerta,riquelmerosa@example.com,Biobío,Hualpén,Loyal,2025-01-06,TikTok
5,Constanza Torres Herrera,zsoto@example.com,La Araucanía,Padre Las Casas,Lost,2023-11-15,Orgánico
6,Catalina Martina Guzmán Gómez,tlagos@example.org,Coquimbo,Ovalle,At Risk,2024-11-22,Email Marketing
7,Valentina Sabina Abarca Soto,carocristopher@example.org,Valparaíso,Valparaíso,At Risk,2023-06-21,Google Ads
8,Mónica Karen Navarro Ojeda,soledadgonzalez@example.com,Metropolitana,Puente Alto,Loyal,2025-04-03,Email Marketing
9,Dominique María Muñoz Suárez,maria33@example.org,Los Lagos,Puerto Montt,At Risk,2024-01-07,Email Marketing
10,Wilson Fernando Alvarado Mora,ktapia@example.org,Metropolitana,Las Condes,Loyal,2024-11-08,Facebook/Instagram
11,Génesis Huerta Ulloa,claudiovergara@example.com,Valparaíso,Villa Alemana,Potential,2024-02-06,Referido
12,Eliseo Héctor Palacios Navarro,normariquelme@example.net,Metropolitana,Macul,New,2023-03-15,Email Marketing
13,Luis Mauricio Fuentes Martínez,salasedith@example.net,Metropolitana,Quilicura,Lost,2023-08-27,Google Ads
14,Alex San Martín,caceresjose@example.com,Coquimbo,Ovalle,Potential,2024-05-05,Referido
15,Cristian Mardones,alejandra02@example.net,Maule,Cauquenes,New,2024-01-29,Facebook/Instagram
16,Brígida Salas-Rodríguez,victoria67@example.org,La Araucanía,Angol,At Risk,2024-03-26,TikTok
17,Santiago Luis Muñoz Rodríguez,maria11@example.com,Valparaíso,Villa Alemana,Hibernating,2025-01-08,Google Ads
18,Matías Troncoso Reyes,jorgegonzalez@example.com,Metropolitana,La Reina,New,2025-01-15,Orgánico
19,María Fabiola Meneses Cáceres,rosavargas@example.com,Metropolitana,Peñalolén,New,2024-11-05,Email Marketing
20,Marianela Caro Cabello,felipe79@example.org,Metropolitana,Providencia,New,2024-10-30,TikTok
21,Raúl Ricardo García Urra,diazemily@example.net,Valparaíso,Villa Alemana,New,2025-05-14,Google Ads
22,Miguel Carlos Arroyo Cornejo,gonzalocortes@example.com,La Araucanía,Angol,Lost,2024-01-22,Facebook/Instagram
23,Gladys Acuña,bravolaura@example.com,Biobío,Chiguayante,Champions,2024-08-28,Facebook/Instagram
24,Matías Ortiz Martínez,lorenabarrios@example.com,Metropolitana,Puente Alto,Hibernating,2025-01-29,Facebook/Instagram
25,Carmen Amalia Araya Cerda,kaedo@example.com,Coquimbo,Illapel,Champions,2023-02-10,Facebook/Instagram
26,Liliana Godoy Martínez,ada31@example.net,La Araucanía,Angol,At Risk,2024-03-17,Orgánico
27,Mariana Vargas,ricardo31@example.com,Biobío,Concepción,Champions,2023-09-13,Facebook/Instagram
28,Isabella Riquelme,villagrasilvana@example.net,Biobío,Concepción,New,2024-07-25,TikTok
29,Alexander José Osorio Ruiz,sdiaz@example.org,Valparaíso,Valparaíso,Lost,2023-10-22,Google Ads
30,Juana Javiera Leiva Fernández,patriciaaedo@example.org,Metropolitana,Las Condes,Lost,2025-06-07,Email Marketing
31,Julia Sarai Martínez Salazar,lsoto@example.com,Metropolitana,Santiago,At Risk,2023-08-16,Referido
32,Catalina María Trujillo Araneda,luis95@example.org,Los Lagos,Ancud,Champions,2025-06-28,Google Ads
33,Tomás González,eliana34@example.net,Metropolitana,La Florida,Lost,2023-09-29,Facebook/Instagram
34,Delia Sandra Pino Muñoz,soniacortes@example.org,Metropolitana,Peñalolén,Lost,2025-01-29,TikTok
35,Luis Sáez Cruz,vreyes@example.net,Metropolitana,Lo Barnechea,Champions,2025-06-15,Google Ads
36,Bastián Misael Muñoz Herrera,karanda@example.com,Metropolitana,Providencia,At Risk,2024-02-20,Email Marketing
37,Marcos Mario Martínez Ortega,noemi31@example.com,Maule,Linares,Lost,2023-05-07,Email Marketing
38,Gonzalo Osvaldo Ortega Salas,garcialeticia@example.org,La Araucanía,Angol,Champions,2023-08-29,Referido
39,Ernesto Vergara Cabello,garceseusebio@example.net,Valparaíso,Viña del Mar,Lost,2025-04-08,Orgánico
40,Valentina Mancilla Valdés,juancornejo@example.org,Metropolitana,Estación Central,Lost,2023-07-02,TikTok
41,Brígida María García Rojas,burgosjulio@example.org,Valparaíso,Quilpué,At Risk,2025-05-25,TikTok
42,Melanie Tatiana González Gallardo,valenzuelamario@example.com,Valparaíso,Valparaíso,Lost,2024-05-20,Email Marketing
43,Constanza Katherine Gutiérrez Gutiérrez,valentinnunez@example.net,Metropolitana,Maipú,Loyal,2023-12-18,Email Marketing
44,Jorge Leal González,vicenteabarca@example.com,Valparaíso,Quilpué,Lost,2023-01-11,Orgánico
45,Javier Martín Cavieres Moyano,giuliana47@example.net,Metropolitana,Maipú,New,2023-05-14,Orgánico
46,Gladys Bernardita Muñoz Molina,vpina@example.com,Biobío,Hualpén,Potential,2023-03-22,Orgánico
47,Freddy Ignacio González Pereira,jacquelinearaneda@example.net,Biobío,Chiguayante,Champions,2024-04-29,TikTok
48,Javiera Magdalena Torres Tapia,mirandacamila@example.org,Metropolitana,Vitacura,At Risk,2023-06-01,TikTok
49,Vicente Castro,fernandezisabella@example.com,Metropolitana,Santiago,Champions,2024-11-10,TikTok
50,Mauricio Francisco Concha Álvarez,luis13@example.net,Biobío,Chiguayante,Hibernating,2024-12-31,Email Marketing
51,Alexander Joel Silva Ríos,trinidad14@example.net,Valparaíso,San Antonio,Loyal,2024-04-29,Referido
52,Gerardo Alfonso Navarro Lillo,plopez@example.com,Maule,Constitución,Champions,2025-04-22,Facebook/Instagram
53,Rosa Katherine Herrera Lillo,guerreromateo@example.com,Biobío,Talcahuano,New,2023-04-11,Orgánico
54,Nataly Herrera Salinas,herreragustavo@example.com,Metropolitana,Vitacura,Lost,2024-10-11,Google Ads
55,Enrique Joseph Caballero Villalobos,danilo22@example.net,Metropolitana,Peñalolén,Loyal,2023-01-06,Email Marketing
56,Javiera Rojas,gladys83@example.net,Biobío,Chiguayante,Lost,2024-10-04,Orgánico
57,Javiera Florentina Yáñez Mamani,mariacisternas@example.com,Metropolitana,Maipú,Loyal,2023-07-15,Google Ads
58,Liliana Debora Molina Velásquez,luciavargas@example.net,Biobío,Chiguayante,At Risk,2024-07-30,Facebook/Instagram
59,José Valdivia Ramírez,silvaana@example.org,Antofagasta,Taltal,Loyal,2025-06-03,TikTok
60,Constanza Paola González Jiménez,roberto79@example.com,Biobío,Los Ángeles,At Risk,2024-10-02,Orgánico
61,Emiliano Avendaño Pinto,gpulgar@example.org,Metropolitana,Ñuñoa,At Risk,2024-08-23,Orgánico
62,Pablo Francisco Chamorro Vidal,cgomez@example.org,Biobío,Hualpén,Loyal,2023-12-12,Referido
63,María Poblete Acevedo,martinezhector@example.net,Valparaíso,Viña del Mar,At Risk,2023-03-24,TikTok
64,Alonso Jorge Sandoval Guzmán,beatrizzapata@example.org,Valparaíso,Villa Alemana,At Risk,2024-09-26,Referido
65,Olga Ruth Barría Echeverría,camposdomingo@example.net,Antofagasta,Antofagasta,At Risk,2023-04-18,Facebook/Instagram
66,Francisca Segura,hquintanilla@example.com,Metropolitana,Macul,At Risk,2024-05-02,Google Ads
67,Adriana Ovalle Barrera,cornejoelisa@example.com,Coquimbo,Vicuña,New,2023-12-13,Facebook/Instagram
68,María Rosa Castro Medina,valentinamaturana@example.org,O'Higgins,Rengo,Lost,2024-07-10,Facebook/Instagram
69,Carlos Neira,maria31@example.com,Metropolitana,Macul,New,2024-04-09,Email Marketing
70,Juan Jorge Espinoza Orellana,contrerasalex@example.com,Metropolitana,Macul,Loyal,2023-02-12,Referido
71,Valeska Barrientos-Márquez Hurtado,cvillablanca@example.net,Metropolitana,La Florida,At Risk,2023-07-28,Google Ads
72,Maximiliano Romero Vásquez,dfuentes@example.com,Metropolitana,Ñuñoa,Lost,2025-06-25,Facebook/Instagram
73,Marcelo Germán Valencia Pereira,tsan-martin@example.com,Metropolitana,La Reina,Loyal,2023-11-20,TikTok
74,Ignacio Ramírez Burgos,orojas@example.org,La Araucanía,Padre Las Casas,Loyal,2024-07-02,TikTok
75,Jorge Herminio López Zapata,manuel09@example.com,Metropolitana,Macul,Hibernating,2023-02-12,Email Marketing
76,Otilia Laura Retamal Lagos,danitza82@example.net,Metropolitana,La Reina,New,2025-04-04,Email Marketing
77,Nelson Pedro Zambrano Aguirre,patriciofernandez@example.org,Maule,Talca,Potential,2024-05-28,Google Ads
78,Emilia Rebolledo Pérez,laravena@example.com,Metropolitana,Maipú,At Risk,2023-05-03,Google Ads
79,Pedro Ávalos,valdesrayen@example.org,Maule,Constitución,New,2025-01-22,Google Ads
80,Amanda Sara Uribe Cortés,ljofre@example.net,Metropolitana,Las Condes,Lost,2023-09-25,Email Marketing
81,Edison Luis Reyes Duarte,hernanretamal@example.org,Metropolitana,Santiago,Potential,2023-04-06,TikTok
82,Olga Angelina Vargas Parra,corinavillegas@example.com,La Araucanía,Angol,Champions,2024-09-01,Orgánico
83,Mayte Natalie Burgos Albornoz,santandereduardo@example.net,Biobío,Los Ángeles,At Risk,2025-06-06,Facebook/Instagram
84,Hugo Patricio Castillo Salinas,rdiaz@example.com,O'Higgins,Santa Cruz,Loyal,2025-06-02,Facebook/Instagram
85,Juan Muñoz Guzmán,maria17@example.net,La Araucanía,Temuco,Potential,2025-02-21,Facebook/Instagram
86,Paula Alexandra Tapia Ossandón,emiliahuerta@example.com,Maule,Cauquenes,Potential,2023-05-11,Orgánico
87,Silvia Calderón Riquelme,ahermosilla@example.net,Metropolitana,Puente Alto,Champions,2024-06-05,Referido
88,Nibaldo Medina,rafaelvalderrama@example.com,Metropolitana,San Miguel,New,2024-06-12,TikTok
89,Luciana Garrido Pizarro,luis76@example.com,Los Lagos,Osorno,New,2023-12-30,Email Marketing
90,Fernanda Lucero,elena87@example.net,Maule,Talca,At Risk,2024-05-24,Google Ads
91,Nidia Tapia Vega,fernanda37@example.com,Los Ríos,Río Bueno,Loyal,2023-04-09,Email Marketing
92,Andrea Camila Gutiérrez Tello,contrerasjorge@example.org,Valparaíso,San Antonio,At Risk,2024-01-27,Google Ads
93,Esteban Luna,danilomejias@example.org,Metropolitana,Puente Alto,At Risk,2025-06-06,Referido
94,María Mercedes Meneses Pereira,pguerrero@example.net,Los Lagos,Castro,Champions,2023-07-05,Email Marketing
95,Benjamín Bravo Contreras,egonzalez@example.org,Metropolitana,La Florida,New,2023-02-13,Email Marketing
96,Trinidad Durán Flores,ximenagutierrez@example.org,Antofagasta,Taltal,New,2025-02-27,TikTok
97,Daniel Marco Retamal Torres,contrerasmaite@example.com,Maule,Curicó,New,2023-03-31,TikTok
98,María Sáez Valdés,carrascobrayan@example.org,Valparaíso,Valparaíso,Potential,2025-04-04,Google Ads
99,Claudio Villarroel Yáñez,gonzalezmaximiliano@example.net,Los Lagos,Ancud,At Risk,2023-01-25,Orgánico
100,Walter Correa Pérez,tsandoval@example.com,Los Lagos,Puerto Varas,Lost,2025-02-20,Referido
101,Jaime Rodrigo Madariaga Urbina,valentina12@example.com,Metropolitana,Vitacura,Potential,2023-12-04,Facebook/Instagram
102,Pedro José Guzmán Salinas,calderonmaritza@example.org,O'Higgins,Pichilemu,Champions,2025-05-08,TikTok
103,Pedro González Urrutia,carlos33@example.org,Valparaíso,Villa Alemana,Hibernating,2024-09-23,Orgánico
104,María Daniela García Medina,lucas95@example.net,Maule,Linares,At Risk,2024-10-09,TikTok
105,Marisol Gabriela Muñoz Flores,aurora74@example.com,Metropolitana,Lo Barnechea,Hibernating,2023-01-08,Google Ads
106,Brayan Barría Vergara,amena@example.org,O'Higgins,Rengo,Loyal,2025-01-20,Google Ads
107,Adela Carmona,ogarcia@example.org,Metropolitana,Quilicura,Lost,2024-07-05,Facebook/Instagram
108,Angie Cortés Vera,lzapata@example.com,Metropolitana,Providencia,Lost,2023-12-24,Orgánico
109,Dafne Claudia Carreño Velásquez,cardenasalejandra@example.com,O'Higgins,Pichilemu,Champions,2024-04-07,Email Marketing
110,Marcela Ximena Moraga Coronado,manuel21@example.net,Metropolitana,Peñalolén,At Risk,2023-07-21,Facebook/Instagram
111,Brian Alejandro Mamani López,mmaldonado@example.net,Metropolitana,Vitacura,Lost,2023-12-15,TikTok
112,Bastián Godoy Cabrera,frios@example.net,Coquimbo,Illapel,Champions,2023-10-20,Facebook/Instagram
113,Esther María Riffo Cabezas,lissette44@example.com,Coquimbo,Illapel,At Risk,2024-10-06,Referido
114,Petronila Amanda Jara Cruz,monica44@example.com,Biobío,Concepción,Champions,2024-02-18,Referido
115,Martina Rebolledo-Suárez Valdivia,catalinamancilla@example.net,Biobío,Los Ángeles,Lost,2023-04-12,Facebook/Instagram
116,Miguel González,gabrielamedina@example.net,Valparaíso,Viña del Mar,Lost,2024-11-30,TikTok
117,María Julieta Castro Díaz,freddy05@example.com,Metropolitana,Peñalolén,Loyal,2025-01-10,Email Marketing
118,Aarón José Barrientos García,contreraskatherine@example.org,Metropolitana,Lo Barnechea,Potential,2025-03-16,TikTok
119,Gael Lorenzo Velásquez Gamboa,maximo49@example.org,La Araucanía,Victoria,Champions,2023-07-19,Orgánico
120,Boris Acuña-Figueroa Matus,juanrojas@example.org,Los Lagos,Osorno,Champions,2024-07-04,Referido
121,Emilia Gallegos Espinoza,zvelasquez@example.net,Los Lagos,Puerto Varas,Potential,2023-08-16,Facebook/Instagram
122,Sergio Octavio Morales González,constanzaretamal@example.net,Los Lagos,Ancud,New,2025-06-27,Referido
123,Paulina Paloma Cortez Miranda,alonsosilva@example.net,Metropolitana,Vitacura,Potential,2024-12-23,Orgánico
124,Oriana Soledad Ruiz Suárez,genesisbarra@example.net,Valparaíso,Villa Alemana,New,2025-02-14,Facebook/Instagram
